ID,frame,coordX,coordY,trackedFor,violationsNumber,avgViolationTime,maxViolationTime
12,400,614,210,6,2,3.5,4
13,400,500,335,6,1,6.0,6
0,425,604,278,17,1,3.0,3
1,425,581,240,17,3,2.3333333333333335,3
2,425,588,154,17,2,10.0,17
3,425,421,243,17,0,0,0
4,425,624,140,17,3,8.0,17
5,425,625,380,17,2,9.5,10
6,425,397,338,17,0,0,0
7,425,511,347,17,1,7.0,7
8,425,640,363,17,2,11.0,12
9,425,638,360,12,2,10.5,12
10,425,488,262,12,0,0,0
11,425,423,96,7,0,0,0
12,425,612,219,7,3,2.6666666666666665,4
13,425,499,335,7,1,7.0,7
0,450,606,272,18,1,3.0,3
1,450,581,240,18,3,2.6666666666666665,3
2,450,594,149,18,2,10.5,18
3,450,421,243,18,0,0,0
4,450,627,135,18,3,8.333333333333334,18
5,450,634,379,18,2,10.5,11
6,450,397,338,18,0,0,0
7,450,511,347,18,1,8.0,8
8,450,647,362,18,2,12.0,13
9,450,645,359,13,2,11.5,13
10,450,486,268,13,0,0,0
11,450,423,96,8,0,0,0
12,450,611,229,8,3,3.0,4
13,450,499,334,8,1,8.0,8
0,475,607,265,19,2,2.5,4
1,475,581,240,19,3,3.3333333333333335,4
2,475,600,146,19,2,11.0,19
3,475,421,243,19,0,0,0
4,475,629,131,19,3,8.666666666666666,19
5,475,642,377,19,2,11.5,12
6,475,397,338,19,0,0,0
7,475,511,347,19,1,9.0,9
8,475,654,361,19,2,13.0,14
9,475,652,359,14,2,12.5,14
10,475,483,277,14,0,0,0
11,475,422,96,9,0,0,0
12,475,611,239,9,4,2.75,4
13,475,499,334,9,1,9.0,9
0,500,607,257,20,2,3.5,5
1,500,581,240,20,3,4.0,5
2,500,606,143,20,2,11.5,20
3,500,421,243,20,0,0,0
4,500,631,125,20,3,9.0,20
5,500,650,375,20,2,12.5,13
6,500,397,338,20,0,0,0
7,500,511,346,20,1,10.0,10
8,500,660,360,20,2,14.0,15
9,500,658,358,15,2,13.5,15
10,500,481,283,15,0,0,0
11,500,423,96,10,0,0,0
12,500,612,248,10,4,3.25,4
13,500,499,334,10,1,10.0,10
0,525,604,249,21,2,4.5,6
1,525,581,240,21,3,4.666666666666667,6
2,525,612,140,21,2,12.0,21
3,525,421,243,21,0,0,0
4,525,632,121,21,3,9.333333333333334,21
5,525,654,373,21,2,13.5,14
6,525,397,338,21,0,0,0
7,525,511,347,21,1,11.0,11
8,525,661,363,21,2,15.0,16
9,525,664,358,16,2,14.5,16
10,525,478,290,16,0,0,0
11,525,426,99,11,0,0,0
12,525,612,257,11,4,3.75,5
13,525,499,334,11,1,11.0,11
0,550,602,243,22,2,5.5,7
1,550,581,240,22,3,5.0,7
2,550,615,141,22,2,12.5,22
3,550,421,243,22,0,0,0
4,550,632,114,22,3,9.666666666666666,22
6,550,397,338,22,0,0,0
7,550,511,346,22,1,12.0,12
9,550,665,356,17,2,15.5,17
10,550,475,297,17,0,0,0
11,550,429,99,12,0,0,0
12,550,610,267,12,4,4.0,5
13,550,500,334,12,1,12.0,12
0,575,599,239,23,2,6.5,8
1,575,581,240,23,3,5.333333333333333,8
2,575,616,139,23,2,13.0,23
3,575,421,243,23,0,0,0
4,575,632,107,23,3,10.0,23
6,575,397,338,23,0,0,0
7,575,512,345,23,1,13.0,13
10,575,471,303,18,0,0,0
11,575,432,102,13,0,0,0
12,575,608,276,13,4,4.25,5
13,575,499,334,13,1,13.0,13
0,600,596,234,24,2,7.0,9
1,600,581,240,24,3,5.666666666666667,9
2,600,618,139,24,2,13.0,23
3,600,421,243,24,0,0,0
4,600,630,100,24,3,10.0,23
6,600,397,338,24,0,0,0
7,600,512,345,24,1,14.0,14
10,600,468,310,19,0,0,0
11,600,435,98,14,0,0,0
12,600,610,288,14,4,4.25,5
13,600,500,335,14,1,14.0,14
0,625,597,233,25,2,7.5,10
1,625,581,240,25,3,6.0,10
2,625,622,136,25,2,13.5,24
3,625,421,243,25,0,0,0
4,625,630,100,25,3,10.333333333333334,24
6,625,397,338,25,0,0,0
7,625,512,345,25,1,15.0,15
10,625,465,317,20,0,0,0
11,625,439,99,15,0,0,0
12,625,617,294,15,4,4.25,5
13,625,500,336,15,1,15.0,15
0,650,599,232,26,2,8.0,11
1,650,581,239,26,3,6.333333333333333,11
2,650,624,130,26,2,14.0,25
3,650,421,243,26,0,0,0
4,650,630,100,26,3,10.666666666666666,25
6,650,397,338,26,0,0,0
7,650,512,345,26,1,16.0,16
10,650,463,323,21,0,0,0
11,650,441,95,16,0,0,0
12,650,623,302,16,4,4.25,5
13,650,500,339,16,1,16.0,16
14,650,428,390,1,0,0,0
0,675,598,234,27,2,8.5,12
1,675,581,237,27,3,6.666666666666667,12
2,675,624,126,27,2,14.5,26
3,675,421,243,27,0,0,0
4,675,631,98,27,3,11.0,26
6,675,397,338,27,0,0,0
7,675,512,345,27,1,17.0,17
10,675,460,331,22,0,0,0
11,675,444,93,17,0,0,0
12,675,623,302,17,4,4.25,5
13,675,500,339,17,1,17.0,17
14,675,437,390,2,0,0,0
0,700,597,233,28,2,9.0,13
1,700,581,237,28,3,7.0,13
2,700,626,119,28,2,15.0,27
3,700,421,243,28,0,0,0
4,700,631,98,28,3,11.333333333333334,27
6,700,397,338,28,0,0,0
7,700,512,345,28,1,18.0,18
10,700,456,337,23,0,0,0
11,700,444,88,18,0,0,0
12,700,623,303,18,4,4.25,5
13,700,500,339,18,1,18.0,18
14,700,445,389,3,0,0,0
0,725,596,233,29,2,9.5,14
1,725,581,237,29,3,7.333333333333333,14
2,725,628,113,29,2,15.5,28
3,725,421,243,29,0,0,0
4,725,631,98,29,3,11.666666666666666,28
6,725,397,338,29,0,0,0
7,725,512,345,29,1,19.0,19
10,725,451,342,24,0,0,0
11,725,443,86,19,0,0,0
12,725,623,302,19,4,4.25,5
13,725,500,339,19,1,19.0,19
14,725,452,390,4,0,0,0
0,750,597,234,30,2,10.0,15
1,750,581,237,30,3,7.666666666666667,15
2,750,628,109,30,2,16.0,29
3,750,421,244,30,0,0,0
4,750,631,95,30,3,12.0,29
6,750,397,339,30,0,0,0
7,750,512,345,30,1,20.0,20
10,750,445,348,25,0,0,0
11,750,440,83,20,0,0,0
12,750,623,302,20,4,4.25,5
13,750,500,339,20,1,20.0,20
14,750,460,390,5,0,0,0
0,775,598,237,31,2,10.5,16
1,775,581,239,31,3,8.0,16
2,775,628,106,31,2,16.5,30
3,775,421,244,31,1,1.0,1
4,775,631,95,31,3,12.333333333333334,30
6,775,397,339,31,0,0,0
7,775,512,345,31,1,21.0,21
10,775,439,350,26,0,0,0
11,775,436,80,21,0,0,0
12,775,623,302,21,4,4.25,5
13,775,500,339,21,1,21.0,21
14,775,467,387,6,0,0,0
15,775,400,232,1,1,1.0,1
0,800,595,237,32,2,11.0,17
1,800,581,237,32,3,8.333333333333334,17
2,800,628,106,32,2,17.0,31
3,800,421,244,32,1,2.0,2
4,800,631,95,32,3,12.666666666666666,31
6,800,397,339,32,1,1.0,1
7,800,511,347,32,1,22.0,22
10,800,433,354,27,1,1.0,1
11,800,433,80,22,0,0,0
12,800,623,302,22,4,4.25,5
13,800,500,337,22,1,22.0,22
14,800,474,386,7,0,0,0
15,800,401,232,2,1,2.0,2
0,825,594,241,33,2,11.5,18
1,825,581,239,33,3,8.666666666666666,18
2,825,628,106,33,2,17.5,32
3,825,421,244,33,1,3.0,3
4,825,631,95,33,3,13.0,32
6,825,397,339,33,1,2.0,2
7,825,512,346,33,1,23.0,23
10,825,427,357,28,1,2.0,2
11,825,429,77,23,0,0,0
12,825,623,302,23,4,4.25,5
13,825,499,337,23,1,23.0,23
14,825,481,384,8,0,0,0
15,825,402,231,3,1,3.0,3
0,850,593,245,34,2,12.0,19
1,850,581,239,34,3,9.0,19
2,850,628,106,34,2,18.0,33
3,850,421,244,34,1,4.0,4
4,850,631,95,34,3,13.333333333333334,33
6,850,397,339,34,1,3.0,3
7,850,512,345,34,1,24.0,24
10,850,421,358,29,1,3.0,3
11,850,426,76,24,0,0,0
12,850,623,303,24,4,4.25,5
13,850,499,338,24,1,24.0,24
14,850,488,381,9,0,0,0
15,850,403,232,4,1,4.0,4
0,875,591,248,35,2,12.5,20
1,875,581,237,35,3,9.333333333333334,20
2,875,627,109,35,2,18.5,34
3,875,421,244,35,1,5.0,5
4,875,631,95,35,3,13.666666666666666,34
6,875,397,339,35,1,4.0,4
7,875,511,346,35,2,13.0,25
10,875,415,361,30,1,4.0,4
11,875,422,78,25,0,0,0
12,875,623,302,25,4,4.25,5
13,875,499,338,25,1,25.0,25
14,875,495,380,10,1,1.0,1
15,875,407,233,5,1,5.0,5
0,900,593,247,36,2,13.0,21
1,900,581,237,36,3,9.666666666666666,21
2,900,626,108,36,2,19.0,35
3,900,421,244,36,1,6.0,6
4,900,631,95,36,3,14.0,35
6,900,397,339,36,2,3.0,5
7,900,509,345,36,2,14.0,26
10,900,408,362,31,2,3.0,5
11,900,417,77,26,0,0,0
12,900,623,303,26,4,4.25,5
13,900,499,338,26,2,13.5,26
14,900,503,377,11,2,1.5,2
15,900,411,234,6,1,6.0,6
16,900,430,335,1,2,1.0,1
0,925,594,243,37,2,13.5,22
1,925,581,237,37,3,10.0,22
2,925,626,108,37,2,19.5,36
3,925,421,244,37,1,7.0,7
4,925,631,95,37,3,14.333333333333334,36
6,925,397,339,37,2,4.0,6
7,925,509,345,37,2,15.0,27
10,925,401,364,32,2,3.5,6
11,925,412,80,27,0,0,0
12,925,623,303,27,4,4.25,5
13,925,499,337,27,2,14.5,27
14,925,511,374,12,2,2.5,3
15,925,412,233,7,1,7.0,7
16,925,430,334,2,2,1.5,2
0,950,595,239,38,2,14.0,23
1,950,580,238,38,3,10.333333333333334,23
2,950,627,109,38,2,20.0,37
3,950,421,244,38,1,8.0,8
4,950,631,95,38,3,14.666666666666666,37
6,950,397,339,38,2,5.0,7
7,950,509,345,38,2,16.0,28
10,950,395,366,33,2,4.0,7
11,950,408,77,28,0,0,0
12,950,623,302,28,4,4.25,5
13,950,500,336,28,2,15.0,28
14,950,518,371,13,2,3.0,4
15,950,416,233,8,1,8.0,8
16,950,430,333,3,2,2.0,3
0,975,595,235,39,2,14.5,24
1,975,581,239,39,3,10.666666666666666,24
2,975,628,106,39,2,20.5,38
3,975,421,244,39,1,9.0,9
4,975,631,95,39,3,15.0,38
6,975,397,339,39,2,6.0,8
7,975,510,346,39,2,17.0,29
10,975,387,367,34,2,4.5,8
11,975,408,77,29,0,0,0
12,975,623,303,29,4,4.25,5
13,975,500,336,29,2,16.0,29
14,975,525,365,14,2,4.0,5
15,975,417,232,9,1,9.0,9
16,975,430,333,4,2,2.5,4
0,1000,596,233,40,2,15.0,25
1,1000,581,239,40,3,11.0,25
2,1000,627,109,40,2,21.0,39
3,1000,421,243,40,1,10.0,10
4,1000,631,95,40,3,15.333333333333334,39
6,1000,397,338,40,2,7.0,9
7,1000,512,344,40,2,18.0,30
10,1000,381,369,35,2,5.0,9
11,1000,408,77,30,0,0,0
12,1000,623,303,30,4,4.25,5
13,1000,500,336,30,2,17.0,30
14,1000,531,360,15,2,5.0,6
15,1000,417,233,10,1,10.0,10
16,1000,429,333,5,2,3.0,5
0,1025,598,230,41,2,15.5,26
1,1025,580,238,41,3,11.333333333333334,26
2,1025,626,108,41,2,21.5,40
3,1025,421,243,41,1,11.0,11
4,1025,631,95,41,3,15.666666666666666,40
6,1025,397,338,41,2,8.0,10
7,1025,512,344,41,2,19.0,31
10,1025,375,370,36,2,5.5,10
11,1025,408,77,31,0,0,0
12,1025,623,303,31,4,4.25,5
13,1025,500,336,31,2,17.5,31
14,1025,537,355,16,2,5.5,7
15,1025,417,232,11,1,11.0,11
16,1025,430,333,6,2,3.5,6
0,1050,598,230,42,2,16.0,27
1,1050,580,238,42,3,11.666666666666666,27
2,1050,626,108,42,2,22.0,41
3,1050,421,243,42,1,12.0,12
4,1050,631,95,42,3,16.0,41
6,1050,397,338,42,2,8.5,10
7,1050,512,343,42,2,20.0,32
10,1050,367,372,37,2,5.5,10
11,1050,408,77,32,0,0,0
12,1050,623,303,32,4,4.25,5
13,1050,500,336,32,2,18.0,32
14,1050,544,349,17,2,6.0,8
15,1050,417,232,12,1,12.0,12
16,1050,430,332,7,2,4.0,7
0,1075,598,230,43,2,16.5,28
1,1075,580,237,43,3,12.0,28
2,1075,626,108,43,2,22.5,42
3,1075,421,243,43,1,13.0,13
4,1075,631,95,43,3,16.333333333333332,42
6,1075,397,338,43,2,9.0,10
7,1075,512,344,43,2,21.0,33
10,1075,360,373,38,2,5.5,10
11,1075,408,77,33,0,0,0
12,1075,623,303,33,4,4.25,5
13,1075,500,336,33,2,18.5,33
14,1075,549,344,18,2,6.5,9
15,1075,417,232,13,1,13.0,13
16,1075,430,332,8,2,4.5,8
0,1100,598,230,44,2,17.0,29
1,1100,580,238,44,3,12.333333333333334,29
2,1100,626,108,44,2,23.0,43
3,1100,421,243,44,1,14.0,14
4,1100,631,98,44,3,16.666666666666668,43
6,1100,397,338,44,2,9.5,10
7,1100,512,345,44,2,21.5,34
10,1100,353,374,39,2,5.5,10
11,1100,408,77,34,0,0,0
12,1100,623,303,34,4,4.25,5
13,1100,500,336,34,2,19.0,34
14,1100,554,338,19,2,6.5,9
15,1100,417,232,14,1,14.0,14
16,1100,430,333,9,2,5.0,9
0,1125,598,230,45,2,17.5,30
1,1125,580,238,45,3,12.666666666666666,30
2,1125,626,108,45,2,23.5,44
3,1125,421,243,45,1,15.0,15
4,1125,631,95,45,3,17.0,44
6,1125,397,339,45,2,10.0,10
7,1125,511,346,45,2,22.0,35
10,1125,346,375,40,2,5.5,10
11,1125,408,77,35,0,0,0
12,1125,623,303,35,4,4.25,5
13,1125,500,336,35,2,19.5,35
14,1125,558,331,20,2,6.5,9
15,1125,417,232,15,1,15.0,15
16,1125,430,332,10,2,5.5,10
0,1150,599,233,46,2,18.0,31
1,1150,580,237,46,3,13.0,31
2,1150,626,108,46,2,24.0,45
3,1150,421,243,46,1,16.0,16
4,1150,631,95,46,3,17.333333333333332,45
6,1150,397,338,46,2,10.5,11
7,1150,510,346,46,2,22.5,36
10,1150,340,376,41,2,5.5,10
11,1150,409,80,36,0,0,0
12,1150,623,303,36,4,4.25,5
13,1150,502,337,36,2,20.0,36
14,1150,561,325,21,2,6.5,9
15,1150,417,232,16,1,16.0,16
16,1150,430,332,11,2,6.0,11
0,1175,598,234,47,2,18.5,32
1,1175,581,237,47,3,13.333333333333334,32
2,1175,626,108,47,2,24.5,46
3,1175,421,243,47,1,17.0,17
4,1175,631,95,47,3,17.666666666666668,46
6,1175,397,339,47,2,11.0,12
7,1175,510,346,47,2,23.0,37
10,1175,333,376,42,2,5.5,10
11,1175,409,82,37,0,0,0
12,1175,623,303,37,4,4.25,5
13,1175,502,337,37,2,20.5,37
14,1175,565,319,22,2,6.5,9
15,1175,417,232,17,1,17.0,17
16,1175,430,333,12,2,6.5,12
0,1200,595,235,48,2,19.0,33
1,1200,579,237,48,3,13.666666666666666,33
2,1200,626,108,48,2,25.0,47
3,1200,421,244,48,1,18.0,18
4,1200,631,95,48,3,18.0,47
6,1200,397,339,48,2,11.5,13
7,1200,511,346,48,2,23.5,38
10,1200,326,375,43,2,5.5,10
11,1200,408,86,38,0,0,0
12,1200,623,303,38,4,4.25,5
13,1200,503,336,38,2,21.0,38
14,1200,569,312,23,2,6.5,9
15,1200,417,232,18,1,18.0,18
16,1200,430,332,13,2,7.0,13
0,1225,594,237,49,2,19.5,34
1,1225,579,237,49,3,14.0,34
2,1225,626,108,49,2,25.5,48
3,1225,422,244,49,1,19.0,19
4,1225,631,95,49,3,18.333333333333332,48
6,1225,397,339,49,2,12.0,14
7,1225,509,345,49,2,24.0,39
10,1225,320,375,44,2,5.5,10
11,1225,409,91,39,0,0,0
12,1225,623,303,39,4,4.25,5
13,1225,503,336,39,2,21.5,39
14,1225,572,308,24,2,6.5,9
15,1225,417,232,19,1,19.0,19
16,1225,430,332,14,2,7.5,14
0,1250,593,235,50,2,20.0,35
1,1250,579,237,50,3,14.333333333333334,35
2,1250,626,108,50,2,26.0,49
3,1250,422,243,50,1,20.0,20
4,1250,631,95,50,3,18.666666666666668,49
6,1250,397,339,50,2,12.5,15
7,1250,509,345,50,2,24.5,40
10,1250,319,374,45,2,5.5,10
11,1250,409,93,40,0,0,0
12,1250,623,303,40,4,4.25,5
13,1250,503,336,40,2,22.0,40
14,1250,578,301,25,2,6.5,9
15,1250,417,232,20,1,20.0,20
16,1250,430,332,15,2,8.0,15
0,1275,594,237,51,2,20.5,36
1,1275,579,237,51,3,14.666666666666666,36
2,1275,627,106,51,2,26.5,50
3,1275,422,243,51,1,21.0,21
4,1275,631,95,51,3,19.0,50
6,1275,397,339,51,2,13.0,16
7,1275,510,345,51,2,25.0,41
10,1275,319,374,46,2,5.5,10
11,1275,414,96,41,0,0,0
12,1275,623,303,41,4,4.25,5
13,1275,503,336,41,2,22.5,41
14,1275,584,297,26,2,6.5,9
15,1275,417,232,21,1,21.0,21
16,1275,430,332,16,2,8.5,16
0,1300,595,239,52,2,21.0,37
1,1300,580,237,52,3,15.0,37
2,1300,626,108,52,2,27.0,51
3,1300,422,243,52,1,22.0,22
4,1300,631,95,52,3,19.333333333333332,51
6,1300,397,339,52,2,13.5,17
7,1300,510,345,52,2,25.5,42
10,1300,319,374,47,2,5.5,10
11,1300,417,99,42,0,0,0
12,1300,623,303,42,5,3.6,5
13,1300,503,336,42,2,23.0,42
14,1300,589,292,27,3,4.666666666666667,9
15,1300,417,232,22,1,22.0,22
16,1300,430,333,17,2,9.0,17
0,1325,597,242,53,2,21.5,38
1,1325,579,237,53,3,15.333333333333334,38
2,1325,627,106,53,2,27.5,52
3,1325,421,243,53,1,23.0,23
4,1325,631,95,53,3,19.666666666666668,52
6,1325,397,339,53,2,14.0,18
7,1325,510,345,53,2,26.0,43
10,1325,319,374,48,2,5.5,10
11,1325,418,97,43,0,0,0
12,1325,623,303,43,5,3.8,5
13,1325,503,336,43,2,23.5,43
14,1325,593,287,28,3,5.0,9
15,1325,417,232,23,1,23.0,23
16,1325,430,332,18,2,9.5,18
0,1350,597,244,54,2,22.0,39
1,1350,579,237,54,3,15.666666666666666,39
2,1350,626,108,54,2,28.0,53
3,1350,421,243,54,1,24.0,24
4,1350,631,95,54,3,20.0,53
6,1350,397,339,54,2,14.5,19
7,1350,510,346,54,2,26.5,44
10,1350,319,374,49,2,5.5,10
11,1350,418,97,44,0,0,0
12,1350,623,303,44,5,4.0,5
13,1350,503,336,44,2,24.0,44
14,1350,593,288,29,3,5.333333333333333,9
15,1350,417,232,24,1,24.0,24
16,1350,430,333,19,2,10.0,19
0,1375,595,246,55,2,22.5,40
1,1375,579,237,55,3,16.0,40
2,1375,626,108,55,2,28.5,54
3,1375,421,243,55,1,25.0,25
4,1375,631,95,55,3,20.333333333333332,54
6,1375,397,339,55,2,15.0,20
7,1375,510,346,55,2,27.0,45
10,1375,319,374,50,2,5.5,10
11,1375,418,97,45,0,0,0
12,1375,623,302,45,5,4.2,5
13,1375,503,336,45,2,24.5,45
14,1375,593,286,30,3,5.666666666666667,9
15,1375,417,232,25,1,25.0,25
16,1375,430,332,20,2,10.5,20
0,1400,596,250,56,3,15.666666666666666,41
1,1400,578,238,56,3,16.333333333333332,41
2,1400,626,108,56,2,29.0,55
3,1400,421,243,56,1,26.0,26
4,1400,631,95,56,3,20.666666666666668,55
6,1400,397,339,56,2,15.5,21
7,1400,510,346,56,2,27.5,46
10,1400,319,374,51,2,5.5,10
11,1400,418,97,46,0,0,0
12,1400,623,302,46,5,4.4,5
13,1400,503,336,46,2,25.0,46
14,1400,593,287,31,4,4.75,9
15,1400,417,232,26,1,26.0,26
16,1400,430,332,21,2,11.0,21
0,1425,601,251,57,3,16.333333333333332,42
1,1425,579,238,57,3,16.666666666666668,42
2,1425,626,108,57,2,29.5,56
3,1425,421,243,57,1,27.0,27
4,1425,631,95,57,3,21.0,56
6,1425,397,339,57,2,16.0,22
7,1425,509,345,57,2,28.0,47
10,1425,319,374,52,2,5.5,10
11,1425,418,97,47,0,0,0
12,1425,623,303,47,5,4.6,6
13,1425,503,336,47,2,25.5,47
14,1425,593,286,32,4,5.25,9
15,1425,417,232,27,1,27.0,27
16,1425,430,332,22,2,11.5,22
0,1450,604,254,58,3,17.0,43
1,1450,578,238,58,3,17.0,43
2,1450,626,108,58,2,30.0,57
3,1450,421,243,58,1,28.0,28
4,1450,631,95,58,3,21.333333333333332,57
6,1450,397,339,58,2,16.5,23
7,1450,509,345,58,2,28.5,48
10,1450,319,374,53,2,5.5,10
11,1450,418,97,48,0,0,0
12,1450,623,303,48,5,4.8,7
13,1450,503,336,48,2,26.0,48
14,1450,593,288,33,4,5.75,9
15,1450,417,232,28,1,28.0,28
16,1450,430,332,23,2,12.0,23
0,1475,605,256,59,3,17.666666666666668,44
1,1475,578,238,59,3,17.333333333333332,44
2,1475,626,108,59,2,30.5,58
3,1475,421,243,59,1,29.0,29
4,1475,631,95,59,3,21.666666666666668,58
6,1475,397,339,59,2,17.0,24
7,1475,510,345,59,2,29.0,49
10,1475,319,374,54,2,5.5,10
11,1475,418,97,49,0,0,0
12,1475,623,303,49,5,5.0,8
13,1475,503,336,49,2,26.5,49
14,1475,593,288,34,4,6.25,9
